UUID,Category,Sub category,Elementary flowname,Unit,resources - fossil fuels,resources - mineral extraction
aa0ba006-9118-475d-93fa-3dfced212a76,resource,in ground,"Copper, Gold, Silver, ore (1.1% Cu, 0.01 g/t Au, 2.86 g/t Ag)",kg,0,0
c8de1c43-d5ca-46fe-84ef-397e647e0b8a,resource,in ground,"Copper, Gold, Silver, ore (1.13% Cu, 1.05 g/t Au, 3.72 g/t Ag)",kg,0,0
20f14ee4-8825-494e-a308-80764c9d82eb,resource,in ground,"Copper, Gold, Silver, ore (1.16% Cu, 0.002 g/t Au, 1.06 g/t Ag)",kg,0,0
7f4aea55-ca00-4a6f-a637-3d59f6f7cbde,resource,in ground,"Copper, Gold, Silver, ore (1.7% Cu, 0.7 g/t Au, 3.5 g/t Ag)",kg,0,0
0f0dde66-8b14-4d98-84cf-d01aef4e6de0,resource,in ground,"Copper, Silver, ore (3.3% Cu, 5.5 g/t Ag)",kg,0,0
935c4dc8-399c-42de-bd82-5944520be23e,resource,in ground,"Copper-Molybdenum-Gold-Silver ore (1.13% CU, 0.02% Mo, 0.01 g/t Au, 2.8 Ag), in ground",kg,0,0
718760af-87f6-4005-be1b-b5ccb8258b32,resource,in ground,crude oil; 42.3 MJ/kg,kWh,0,0
73b7f080-b7ae-417c-b740-b4c9eabfb35a,resource,in ground,"Cu, Cu 3.2E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0% in ore, in ground",kg,0,1.2357
93243ea3-5543-4f71-a018-89913fe85a09,resource,unspecified,"Cu, Cu 3.2E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0% in ore, in ground",kg,0,1.2357
8508a83c-6a37-4159-93cc-21a2645390ab,resource,in ground,"Cu, Cu 5.2E-2%, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Ni 3.7E-2% in ore, in ground",kg,0,1.2357
8baa6285-bbbd-4a13-aba3-ec0ff5411fdb,resource,unspecified,"Cu, Cu 5.2E-2%, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Ni 3.7E-2% in ore, in ground",kg,0,1.2357
9877ce00-65f8-4c0c-9fcf-92aa53a2c9c0,resource,in ground,"Diatomite, in ground",kg,0,0
c7aee986-b7d8-4ad9-ad45-1ac0d68e6b78,resource,in ground,"Dolomite, in ground",kg,0,0
b76462ce-a161-4fb0-ae32-bc852dd71107,resource,in ground,dysprosium,kg,0,0
d43946a1-f22e-4fb6-9ad1-c9cf360351ac,resource,unspecified,"Energy, from coal",kWh,0,0
3d1daf2e-31ad-4088-a814-679f0d499e2f,resource,unspecified,"Energy, from sulfur",kWh,0,0
8bc09c04-2190-4ee2-9ee2-ae988ccd4e0c,resource,in ground,"Energy, geothermal, converted",kWh,0,0
57c71b25-4663-4fad-9167-7ce5be3e8268,resource,in air,"Energy, kinetic (in wind), converted",kWh,0,0
c0dd7ccd-9e7a-42b3-b899-dfd18c2150ca,resource,in water,"Energy, potential (in hydropower reservoir), converted",kWh,0,0
f85eb4eb-3342-4283-a8ad-4d2c94e5aae2,resource,in ground,"Energy, primary, from geothermal",kWh,0,0
f92cd1d9-f342-43b4-8d38-a787c945c0d5,resource,in air,"Energy, primary, from solar energy",kWh,0,0
5bc2536a-5cb4-4c7a-9495-b21acd99ff9d,resource,in water,"Energy, primary, from water power",kWh,0,0
04202049-6556-11dd-ad8b-0800200c9a66,resource,in water,"Energy, primary, from waves",kWh,0,0
c6e7e174-ff4e-4c4f-b727-f448389db0c8,resource,in air,"Energy, primary, from wind power",kWh,0,0
a7ff17d4-d3fe-4a70-9f2e-392b34630772,resource,in air,"Energy, solar, converted",kWh,0,0
1d9f4996-3197-476e-8cec-342a37c3fe26,resource,in ground,erbium,kg,0,0
a093e2a2-efa8-49a2-bdcd-d700cf9466e5,resource,land,Erosion Resistance,kg/a,0,0
df79428f-f7f6-4788-8971-8c959827ed82,resource,land,Erosion Resistance,kg,0,0
3d58d08f-a4e6-4ccb-9a42-7a99bcf482b3,resource,in ground,europium,kg,0,0
7c954971-4bce-41db-9e8b-2b2f049539d7,resource,in ground,"Europium, 0.06% in bastnasite, 0.006% in crude ore, in ground",kg,0,0
26296ec9-ff93-41e6-bbbf-6175af04284d,resource,in ground,"Feldspar, in ground",kg,0,0
d90d8435-aefe-4bf7-8d10-3329f9821e97,resource,in ground,Fluorine,kg,0,0
e5fadc0b-1d79-4604-ac32-fd3321f27933,resource,in ground,"Fluorine, 4.5% in apatite, 1% in crude ore, in ground",kg,0,0
355785ee-56e0-455b-aaa6-bee43c82b49c,resource,in ground,"Fluorine, 4.5% in apatite, 3% in crude ore, in ground",kg,0,0
08a91e70-3ddc-11dd-97f7-0050c2490048,resource,in ground,Fluorspar,kg,0,0
de2d220b-9fe8-4c39-bef7-a76c00d6ff33,resource,in ground,"Fluorspar, 92%, in ground",kg,0,0
3d489606-b870-4852-8cb4-37d2c9399479,resource,in ground,Fresh fruit bunches,kg,0,0
8dde6164-a2d2-4964-aae0-32363b942457,resource,in ground,gadolinium,kg,0,0
b878ca93-d699-421e-a4b6-f694dc627062,resource,in ground,"Gadolinium, 0.15% in bastnasite, 0.015% in crude ore, in ground",kg,0,0
9b69a732-a021-42eb-9f38-6cc9d9b83d72,resource,in ground,gallium,kg,0,0
e2c5109f-9a68-4828-b824-eb2193864803,resource,in ground,"Gallium, 0.014% in bauxite, in ground",kg,0,0
3ed5f377-344f-423a-b5ec-9a9a1162b944,resource,in ground,"Gas, mine, off-gas, process, coal mining",m3,0.1076,0
57705642-2dff-46b4-a776-6ae778997801,resource,unspecified,"Gas, mine, off-gas, process, coal mining",m3,0.1076,0
b8b73d09-394b-4e05-8e08-6e77387dc2e4,resource,unspecified,"Gas, mine, off-gas, process, coal mining/kg",kg,,0
5bea06b9-bffe-484a-815c-ff5d934b911b,resource,unspecified,"Gas, natural, 30.3 MJ per kg, in ground",kg,0,0
9854e081-33dc-489d-aca2-d164c87220da,resource,unspecified,"Gas, natural, 35 MJ per m3, in ground",m3,0,0
35009b58-7a33-41aa-a15e-95b37717842b,resource,unspecified,"Gas, natural, 36.6 MJ per m3, in ground",m3,0,0
7ae398b4-8532-11e0-9d78-0800200c9a66,resource,in ground,"Gas, natural, 46.8 MJ per kg, in ground",kg,0,0
