UUID,Category,Sub category,Elementary flowname,Unit,acidification,ecotoxicity,eutrophication,globalwarming,ozonedepletion,photochemicaloxidation,carcinogenics,non-carcinogenics,respiratory.effects
6e26a640-2c31-4223-a970-5d79727c3749,soil,unspecified,Acetone,kg,0,0,0,0,0,0,0,0,0
d78a3d22-4bed-4ad3-8a9c-1cc4645188d0,water,unspecified,Acetone,kg,0,0.0096182,0,0,0,0,0,0.17076,0
ff45a199-18e0-4777-886b-e2d0422d2f82,air,unspecified,Acetonitrile,kg,0,0,0,0,0,0,0,50.54,0
a43f22cf-2b66-4fe3-b516-eb7f4dacfeef,soil,unspecified,Acetonitrile,kg,0,0,0,0,0,0,0,0,0
cbaca555-e09c-4dc6-bdc3-60e6f8a784f9,water,unspecified,Acetonitrile,kg,0,0,0,0,0,0,0,20.762,0
c009202c-0247-4512-8d7d-26f5f44b8ab2,air,unspecified,Acetophenone,kg,0,0,0,0,0,0,0,0,0
f667cdb9-6610-416b-94dc-4d61e449d034,soil,unspecified,Acetophenone,kg,0,0,0,0,0,0,0,0,0
24ba8118-754c-43a4-a28a-fa8c6249d198,soil,unspecified,Acetyl chloride,kg,0,0,0,0,0,0,0,0,0
65bafee0-9f42-4788-af33-4df48d0e7f65,water,unspecified,Acetyl chloride,kg,0,0,0,0,0,0,0,0,0
6a421ea2-2ebb-4c18-92e6-bb5032729895,air,unspecified,"Acid gases, unspecified",kg,0,0,0,0,0,0,0,0,0
29066274-6556-11dd-ad8b-0800200c9a66,air,unspecified,"Acidity, unspecified",kg,0,0,0,0,0,0,0,0,0
90acf4c1-f61b-4d2c-8a86-50889520c69c,soil,unspecified,"Acidity, unspecified",kg,0,0,0,0,0,0,0,0,0
b37294bd-947d-4f35-b9e6-3eb259c05ff5,water,unspecified,"Acidity, unspecified",kg,0,0,0,0,0,0,0,0,0
591d1fd5-f160-456a-a58a-e6e2cc87f32b,soil,unspecified,Acifluorfen,kg,0,0,0,0,0,0,0,0,0
a45d753f-442f-442e-866f-5b0b28468e18,water,unspecified,Acifluorfen,kg,0,0,0,0,0,0,0,0,0
66426b27-4b5c-4b90-b490-8c61122a14ef,soil,unspecified,Aclonifen,kg,0,0,0,0,0,0,0,0,0
d896ced7-a107-4017-b284-d95a8ef3e735,air,unspecified,Acrolein,kg,0,7.1214,0,0,0,1.6073,0,2366,0
5044df40-5ee1-4a05-9a01-5af973010ce0,soil,unspecified,Acrolein,kg,0,0,0,0,0,0,0,0,0
2e1679b9-9828-4d2c-80f2-adef10c5fc42,soil,unspecified,ACRYLAMIDE,kg,0,0,0,0,0,0,0,0,0
37f69770-85d0-4af3-a612-41e9d314f5bb,water,unspecified,"Acrylate, ion",kg,0,0,0,0,0,0,0,0,0
faca26d7-b953-4dd6-94a9-7b8975452e1c,air,unspecified,Acrylic acid,kg,0,0,0,0,0,0,0,31.372,0
9b92f222-1228-4f6f-a98d-57dbf6b94964,soil,unspecified,Acrylic acid,kg,0,0,0,0,0,0,0,0,0
783424fa-8b67-40ff-8652-61bae8f854ae,water,unspecified,Acrylic acid,kg,0,0,0,0,0,0,0,0,0
08a91e70-3ddc-11dd-91ae-0050c2490048,air,unspecified,Acrylonitrile,kg,0,0,0,0,0,0,0,0,0
17d16108-d4fd-452e-a7ef-584a8f306e58,soil,unspecified,Acrylonitrile,kg,0,0,0,0,0,0,0,0,0
2c5362e9-ff22-46b4-9dad-3c765df0ac3f,water,unspecified,Acrylonitrile,kg,0,0,0,0,0,0,1.7932,42.704,0
d3805249-4c8b-48fb-8843-a7765b8d1322,air,unspecified,"Actinides, radioactive, unspecified",kBq,0,0,0,0,0,0,0,0,0
928873e6-c391-447e-b503-fbeae3211df1,water,unspecified,"Actinides, radioactive, unspecified",kBq,0,0,0,0,0,0,0,0,0
f6081b6d-3214-4f2e-83f9-7ee6e77626b8,air,unspecified,"Adipate, bis(1-ethylhexyl)-",kg,0,0,0,0,0,0,0,0,0
23204f55-d788-4ea1-8690-82810b7b2833,air,unspecified,"Adipate, bis(2-ethylhexyl)-",kg,0,0,0,0,0,0,0,0,0
d0390836-19a7-4bae-a0a6-6de3abc4e74b,soil,unspecified,"Adipate, bis(2-ethylhexyl)-",kg,0,0,0,0,0,0,0,0,0
cec0687d-7d44-4e80-ae2f-428c2664d66d,air,unspecified,"Aerosols, radioactive, unspecified",kBq,0,0,0,0,0,0,0,0,0
fe0acd60-3ddc-11dd-ae96-0050c2490048,air,unspecified,"Air, used",kg,0,0,0,0,0,0,0,0,0
78895047-6159-4f2f-a9c2-eaa2452c1cdd,water,unspecified,Al3,kg,0,0,0,0,0,0,0,0,0
651b09a7-586f-4abc-b059-892a259728fc,air,unspecified,Alachlor,kg,0,0,0,0,0,0,0,0,0
95cdbac0-0ca4-4fd5-9775-96d94fbcc35d,soil,unspecified,Alachlor,kg,0,0,0,0,0,0,0,0,0
63e78922-8549-11e0-9d78-0800200c9a66,water,unspecified,Alachlor,kg,0,0,0,0,0,0,0,0,0
3ebd8994-f9cc-4acf-85ad-1db588d97b03,air,unspecified,Aldehyde,kg,0,0,0,0,0,0,0,0,0
06f0a67c-ec68-435d-8c32-0decd79a4a1a,air,unspecified,"Aldehydes, unspecified",kg,0,0,0,0,0,0,0,0,0
63e78923-8549-11e0-9d78-0800200c9a66,water,unspecified,"Aldehydes, unspecified",kg,0,0,0,0,0,0,0,0,0
b9103972-ab2c-4329-b8b1-88efef94d7fe,air,unspecified,Aldicarb,kg,0,0,0,0,0,0,0,0,0
d0882206-4aca-4345-b785-eb8e4dbb5799,soil,unspecified,Aldicarb,kg,0,0,0,0,0,0,0,0,0
63e78925-8549-11e0-9d78-0800200c9a66,water,unspecified,Aldicarb,kg,0,0,0,0,0,0,0,0,0
825d2748-1c45-4871-9bfa-2d3a203fd51a,soil,unspecified,Aldoxycarb,kg,0,0,0,0,0,0,0,0,0
4f14a69f-a414-4487-a7b3-032db9288f19,soil,unspecified,Aldrin,kg,0,0,0,0,0,0,0,0,0
f70ae614-1924-4956-8014-3c022efa1282,soil,unspecified,ALLYL CHLORIDE,kg,0,0,0,0,0,0,0,0,0
5489b861-0968-4334-b138-cc58a26a5210,soil,unspecified,allylamine,kg,0,0,0,0,0,0,0,0,0
58f4f382-4481-4f4b-9a94-b461b317ff99,soil,unspecified,Alpha-cypermethrin,kg,0,0,0,0,0,0,0,0,0
81a36ad1-ab79-4685-8cd2-317f03f9c8c5,air,unspecified,alpha-Pinene,kg,0,0,0,0,0,0,0,0,0
