,,"Sputtered Mo Back Contact, based on ITO [kg]","Electricity, at grid, US, 2000 [kWh]","Sputtering target, Mo [kg]","Oxygen, liquid, at plant [kg]","Production of Argon (at plant) [kg]","Pure Molybdenum Metal [kg]","Electricity, at grid, US, 2008 [kWh]","Production of Helium [m3]","Hydrogen, liquid, synthesis gas, at plant [kg]","Molybdenum Trioxide (at plant) [kg]","Electricity, bituminous coal, at power plant [kWh]","Natural gas, processed, at plant [m3]","Natural gas, combusted in industrial boiler [m3]","Natural gas, processed, for olefins production, at plant [kg]","Transport, pipeline, natural gas [t*km]","Transport, barge, average fuel mix [t*km]","transport, train, diesel powered [t*km]","transport, combination truck, diesel powered [t*km]","Diesel, combusted in industrial boiler [m3]","Gasoline, combusted in equipment [m3]","Natural gas, at extraction site [m3]","Natural gas, processed, at plant [m3]","Transport, combination truck, average fuel mix [t*km]","Natural gas, extracted [kg]","transport, barge, diesel powered [t*km]","Transport, barge, residual fuel oil powered [t*km]"
"Heat, waste [kWh]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2981438899274038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Particulates, < 2.5 um [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.491829E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sulfur dioxide [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.333847E-6,0.0,0.0,0.00677,0.0179,0.0,0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0179,0.0,0.0,0.0,0.0
"Water, cooling, unspecified natural origin [m3]","resource / in water",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00330128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Transport, combination truck, average fuel mix [t*km]","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.122034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Transport, train, diesel powered [t*km]","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7310846,-0.00819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Mercury [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.354812E-10,0.0,1.46E-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.22E-10,0.0,0.0,2.54E-10,0.0,0.0
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.231596E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Transport, combination truck, diesel powered [t*km]","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TOC, Total Organic Carbon [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
